chr	start	end	strand	gene_id	transcript_id	gene_name	gene_biotype	transcript_biotype
IV	57265	60405	-	YDL223C	YDL223C_mRNA	YDL223C	protein_coding	protein_coding
IV	60872	61801	-	YDL222C	YDL222C_mRNA	YDL222C	protein_coding	protein_coding
IV	62011	62562	+	YDL221W	YDL221W_mRNA	YDL221W	protein_coding	protein_coding
IV	62244	65018	-	YDL220C	YDL220C_mRNA	CDC13	protein_coding	protein_coding
IV	65242	65765	+	YDL219W	YDL219W_mRNA	DTD1	protein_coding	protein_coding
IV	66493	67446	+	YDL218W	YDL218W_mRNA	YDL218W	protein_coding	protein_coding
IV	67983	68606	-	YDL217C	YDL217C_mRNA	YDL217C	protein_coding	protein_coding
IV	68997	70319	-	YDL216C	YDL216C_mRNA	RRI1	protein_coding	protein_coding
IV	70640	73918	-	YDL215C	YDL215C_mRNA	GDH2	protein_coding	protein_coding
IV	74446	76545	-	YDL214C	YDL214C_mRNA	YDL214C	protein_coding	protein_coding
IV	77289	77966	-	YDL213C	YDL213C_mRNA	YDL213C	protein_coding	protein_coding
IV	78426	79058	+	YDL212W	YDL212W_mRNA	SHR3	protein_coding	protein_coding
IV	79294	80412	-	YDL211C	YDL211C_mRNA	YDL211C	protein_coding	protein_coding
IV	83548	83618	+	tG(GCC)D1	tG(GCC)D1_tRNA	tG(GCC)D1	tRNA	tRNA
IV	84270	85985	+	YDL210W	YDL210W_mRNA	YDL210W	protein_coding	protein_coding
IV	86207	87226	-	YDL209C	YDL209C_mRNA	CWC2	protein_coding	protein_coding
IV	87512	87982	+	YDL208W	YDL208W_mRNA	YDL208W	protein_coding	protein_coding
IV	88248	89864	+	YDL207W	YDL207W_mRNA	GLE1	protein_coding	protein_coding
IV	90176	92464	+	YDL206W	YDL206W_mRNA	YDL206W	protein_coding	protein_coding
IV	92762	93745	-	YDL205C	YDL205C_mRNA	HEM3	protein_coding	protein_coding
IV	94605	95786	+	YDL204W	YDL204W_mRNA	YDL204W	protein_coding	protein_coding
IV	96082	97953	-	YDL203C	YDL203C_mRNA	YDL203C	protein_coding	protein_coding
IV	98475	99224	+	YDL202W	YDL202W_mRNA	MRPL11	protein_coding	protein_coding
IV	99561	100421	+	YDL201W	YDL201W_mRNA	YDL201W	protein_coding	protein_coding
IV	100501	101067	-	YDL200C	YDL200C_mRNA	MGT1	protein_coding	protein_coding
IV	101290	103353	-	YDL199C	YDL199C_mRNA	YDL199C	protein_coding	protein_coding
IV	103649	104551	-	YDL198C	YDL198C_mRNA	GGC1	protein_coding	protein_coding
IV	104917	106494	-	YDL197C	YDL197C_mRNA	YDL197C	protein_coding	protein_coding
IV	106741	107070	+	YDL196W	YDL196W_mRNA	YDL196W	protein_coding	protein_coding
IV	107208	111029	+	YDL195W	YDL195W_mRNA	SEC31	protein_coding	protein_coding
IV	111580	114234	+	YDL194W	YDL194W_mRNA	YDL194W	protein_coding	protein_coding
IV	114672	115799	+	YDL193W	YDL193W_mRNA	YDL193W	protein_coding	protein_coding
IV	116321	116866	+	YDL192W	YDL192W_mRNA	YDL192W	protein_coding	protein_coding
IV	117664	118517	+	YDL191W	YDL191W_mRNA	RPL35A	protein_coding	protein_coding
IV	118707	121592	-	YDL190C	YDL190C_mRNA	YDL190C	protein_coding	protein_coding
IV	122216	123589	+	YDL189W	YDL189W_mRNA	YDL189W	protein_coding	protein_coding
IV	123865	124998	-	YDL188C	YDL188C_mRNA	PPH22	protein_coding	protein_coding
IV	125509	125838	-	YDL187C	YDL187C_mRNA	YDL187C	protein_coding	protein_coding
IV	125616	126449	+	YDL186W	YDL186W_mRNA	YDL186W	protein_coding	protein_coding
IV	126608	126835	-	YDL185C-A	YDL185C-A_mRNA	YDL185C-A	protein_coding	protein_coding
IV	126787	130002	+	YDL185W	YDL185W_mRNA	VMA1	protein_coding	protein_coding
IV	130407	130484	-	YDL184C	YDL184C_mRNA	RPL41A	protein_coding	protein_coding
IV	130871	131833	-	YDL183C	YDL183C_mRNA	YDL183C	protein_coding	protein_coding
IV	133437	134723	+	YDL182W	YDL182W_mRNA	YDL182W	protein_coding	protein_coding
IV	135179	135436	+	YDL181W	YDL181W_mRNA	YDL181W	protein_coding	protein_coding
IV	135896	137539	+	YDL180W	YDL180W_mRNA	YDL180W	protein_coding	protein_coding
IV	138291	139205	+	YDL179W	YDL179W_mRNA	YDL179W	protein_coding	protein_coding
IV	139522	141114	+	YDL178W	YDL178W_mRNA	DLD2	protein_coding	protein_coding
IV	141209	141721	-	YDL177C	YDL177C_mRNA	YDL177C	protein_coding	protein_coding
IV	142097	144223	+	YDL176W	YDL176W_mRNA	YDL176W	protein_coding	protein_coding
IV	144484	145518	-	YDL175C	YDL175C_mRNA	YDL175C	protein_coding	protein_coding
IV	145826	147589	-	YDL174C	YDL174C_mRNA	YDL174C	protein_coding	protein_coding
IV	148191	149078	+	YDL173W	YDL173W_mRNA	YDL173W	protein_coding	protein_coding
IV	148607	149086	-	YDL172C	YDL172C_mRNA	YDL172C	protein_coding	protein_coding
IV	149203	155640	-	YDL171C	YDL171C_mRNA	YDL171C	protein_coding	protein_coding
IV	156318	157904	+	YDL170W	YDL170W_mRNA	YDL170W	protein_coding	protein_coding
IV	158064	158735	-	YDL169C	YDL169C_mRNA	YDL169C	protein_coding	protein_coding
IV	159604	160764	+	YDL168W	YDL168W_mRNA	SFA1	protein_coding	protein_coding
IV	160995	163154	-	YDL167C	YDL167C_mRNA	YDL167C	protein_coding	protein_coding
IV	163449	164042	-	YDL166C	YDL166C_mRNA	YDL166C	protein_coding	protein_coding
IV	164290	164865	+	YDL165W	YDL165W_mRNA	CDC36	protein_coding	protein_coding
IV	164987	167254	-	YDL164C	YDL164C_mRNA	CDC9	protein_coding	protein_coding
IV	166956	167258	+	YDL163W	YDL163W_mRNA	YDL163W	protein_coding	protein_coding
IV	167359	167715	-	YDL162C	YDL162C_mRNA	YDL162C	protein_coding	protein_coding
IV	167714	169078	+	YDL161W	YDL161W_mRNA	YDL161W	protein_coding	protein_coding
IV	169366	169608	-	YDL160C-A	YDL160C-A_mRNA	YDL160C-A	protein_coding	protein_coding
IV	170410	171930	-	YDL160C	YDL160C_mRNA	YDL160C	protein_coding	protein_coding
IV	172182	172313	+	YDL159W-A	YDL159W-A_mRNA	YDL159W-A	protein_coding	protein_coding
IV	172481	174028	+	YDL159W	YDL159W_mRNA	YDL159W	protein_coding	protein_coding
IV	173056	173232	-	YDL159C-B	YDL159C-B_mRNA	YDL159C-B	protein_coding	protein_coding
IV	173866	174174	-	YDL158C	YDL158C_mRNA	YDL158C	protein_coding	protein_coding
IV	174232	174588	-	YDL157C	YDL157C_mRNA	YDL157C	protein_coding	protein_coding
IV	174918	176486	+	YDL156W	YDL156W_mRNA	YDL156W	protein_coding	protein_coding
IV	176773	178056	+	YDL155W	YDL155W_mRNA	YDL155W	protein_coding	protein_coding
IV	178334	181039	+	YDL154W	YDL154W_mRNA	YDL154W	protein_coding	protein_coding
IV	181186	183018	-	YDL153C	YDL153C_mRNA	SAS10	protein_coding	protein_coding
IV	182822	183187	+	YDL152W	YDL152W_mRNA	YDL152W	protein_coding	protein_coding
IV	183318	183899	-	YDL151C	YDL151C_mRNA	YDL151C	protein_coding	protein_coding
IV	183343	184611	+	YDL150W	YDL150W_mRNA	RPC53	protein_coding	protein_coding
IV	184925	187918	+	YDL149W	YDL149W_mRNA	ATG9	protein_coding	protein_coding
IV	188154	190586	-	YDL148C	YDL148C_mRNA	NOP14	protein_coding	protein_coding
IV	190924	192261	+	YDL147W	YDL147W_mRNA	RPN5	protein_coding	protein_coding
IV	192750	194225	+	YDL146W	YDL146W_mRNA	YDL146W	protein_coding	protein_coding
IV	194571	198176	-	YDL145C	YDL145C_mRNA	COP1	protein_coding	protein_coding
IV	198662	199732	-	YDL144C	YDL144C_mRNA	YDL144C	protein_coding	protein_coding
IV	199996	201582	+	YDL143W	YDL143W_mRNA	CCT4	protein_coding	protein_coding
IV	201719	202570	-	YDL142C	YDL142C_mRNA	CRD1	protein_coding	protein_coding
IV	203039	205111	+	YDL141W	YDL141W_mRNA	BPL1	protein_coding	protein_coding
IV	205360	210561	-	YDL140C	YDL140C_mRNA	RPO21	protein_coding	protein_coding
IV	211375	212046	-	YDL139C	YDL139C_mRNA	YDL139C	protein_coding	protein_coding
IV	213351	215642	+	YDL138W	YDL138W_mRNA	YDL138W	protein_coding	protein_coding
IV	216529	217074	+	YDL137W	YDL137W_mRNA	YDL137W	protein_coding	protein_coding
IV	217600	218367	+	YDL136W	YDL136W_mRNA	RPL35B	protein_coding	protein_coding
IV	218680	219288	-	YDL135C	YDL135C_mRNA	YDL135C	protein_coding	protein_coding
IV	219662	220771	-	YDL134C	YDL134C_mRNA	PPH21	protein_coding	protein_coding
IV	221724	221801	-	YDL133C-A	YDL133C-A_mRNA	RPL41B	protein_coding	protein_coding
IV	222427	223740	+	YDL133W	YDL133W_mRNA	YDL133W	protein_coding	protein_coding
IV	224304	226751	+	YDL132W	YDL132W_mRNA	YDL132W	protein_coding	protein_coding
IV	227393	228715	+	YDL131W	YDL131W_mRNA	YDL131W	protein_coding	protein_coding
IV	229171	229431	+	YDL130W-A	YDL130W-A_mRNA	STF1	protein_coding	protein_coding
IV	229906	230527	+	YDL130W	YDL130W_mRNA	RPP1B	protein_coding	protein_coding
IV	231024	231899	+	YDL129W	YDL129W_mRNA	YDL129W	protein_coding	protein_coding
IV	232652	233887	+	YDL128W	YDL128W_mRNA	VCX1	protein_coding	protein_coding
IV	234927	235853	+	YDL127W	YDL127W_mRNA	PCL2	protein_coding	protein_coding
IV	236157	238664	-	YDL126C	YDL126C_mRNA	YDL126C	protein_coding	protein_coding
IV	239019	239606	-	YDL125C	YDL125C_mRNA	YDL125C	protein_coding	protein_coding
IV	240259	241197	+	YDL124W	YDL124W_mRNA	YDL124W	protein_coding	protein_coding
IV	241418	241840	+	YDL123W	YDL123W_mRNA	YDL123W	protein_coding	protein_coding
IV	242552	244981	+	YDL122W	YDL122W_mRNA	YDL122W	protein_coding	protein_coding
IV	245133	245582	-	YDL121C	YDL121C_mRNA	YDL121C	protein_coding	protein_coding
IV	245923	246447	+	YDL120W	YDL120W_mRNA	YDL120W	protein_coding	protein_coding
IV	246689	247612	-	YDL119C	YDL119C_mRNA	YDL119C	protein_coding	protein_coding
IV	247302	247682	+	YDL118W	YDL118W_mRNA	YDL118W	protein_coding	protein_coding
IV	248581	251238	+	YDL117W	YDL117W_mRNA	YDL117W	protein_coding	protein_coding
IV	251566	253746	+	YDL116W	YDL116W_mRNA	YDL116W	protein_coding	protein_coding
IV	253995	255126	-	YDL115C	YDL115C_mRNA	YDL115C	protein_coding	protein_coding
IV	254935	255048	+	YDL114W-A	YDL114W-A_mRNA	YDL114W-A	protein_coding	protein_coding
IV	255604	256530	+	YDL114W	YDL114W_mRNA	YDL114W	protein_coding	protein_coding
IV	256633	258555	-	YDL113C	YDL113C_mRNA	ATG20	protein_coding	protein_coding
IV	258915	263225	+	YDL112W	YDL112W_mRNA	YDL112W	protein_coding	protein_coding
IV	263313	264110	-	YDL111C	YDL111C_mRNA	YDL111C	protein_coding	protein_coding
IV	264512	264964	-	YDL110C	YDL110C_mRNA	YDL110C	protein_coding	protein_coding
IV	265258	267201	-	YDL109C	YDL109C_mRNA	YDL109C	protein_coding	protein_coding
IV	267698	268699	+	YDL108W	YDL108W_mRNA	YDL108W	protein_coding	protein_coding
IV	268921	269976	+	YDL107W	YDL107W_mRNA	YDL107W	protein_coding	protein_coding
IV	270222	271901	-	YDL106C	YDL106C_mRNA	PHO2	protein_coding	protein_coding
IV	272389	273597	+	YDL105W	YDL105W_mRNA	NSE4	protein_coding	protein_coding
IV	273653	274876	-	YDL104C	YDL104C_mRNA	YDL104C	protein_coding	protein_coding
IV	275148	276581	-	YDL103C	YDL103C_mRNA	QRI1	protein_coding	protein_coding
IV	276872	280165	+	YDL102W	YDL102W_mRNA	POL3	protein_coding	protein_coding
IV	280307	281848	-	YDL101C	YDL101C_mRNA	YDL101C	protein_coding	protein_coding
IV	282112	283176	-	YDL100C	YDL100C_mRNA	GET3	protein_coding	protein_coding
IV	283419	284444	+	YDL099W	YDL099W_mRNA	YDL099W	protein_coding	protein_coding
IV	284581	285165	-	YDL098C	YDL098C_mRNA	YDL098C	protein_coding	protein_coding
IV	285391	286695	-	YDL097C	YDL097C_mRNA	RPN6	protein_coding	protein_coding
IV	286998	287324	-	YDL096C	YDL096C_mRNA	YDL096C	protein_coding	protein_coding
IV	287059	289512	+	YDL095W	YDL095W_mRNA	YDL095W	protein_coding	protein_coding
IV	289572	290081	-	YDL094C	YDL094C_mRNA	YDL094C	protein_coding	protein_coding
IV	289909	292140	+	YDL093W	YDL093W_mRNA	YDL093W	protein_coding	protein_coding
IV	292781	293221	+	YDL092W	YDL092W_mRNA	YDL092W	protein_coding	protein_coding
IV	293392	294759	-	YDL091C	YDL091C_mRNA	YDL091C	protein_coding	protein_coding
IV	295034	296329	-	YDL090C	YDL090C_mRNA	RAM1	protein_coding	protein_coding
IV	296820	298274	+	YDL089W	YDL089W_mRNA	YDL089W	protein_coding	protein_coding
IV	298417	300003	-	YDL088C	YDL088C_mRNA	ASM4	protein_coding	protein_coding
IV	300214	300999	-	YDL087C	YDL087C_mRNA	LUC7	protein_coding	protein_coding
IV	301413	302234	+	YDL086W	YDL086W_mRNA	YDL086W	protein_coding	protein_coding
IV	301655	302089	-	YDL086C-A	YDL086C-A_mRNA	YDL086C-A	protein_coding	protein_coding
IV	302464	302670	-	YDL085C-A	YDL085C-A_mRNA	YDL085C-A	protein_coding	protein_coding
IV	303211	304848	+	YDL085W	YDL085W_mRNA	NDE2	protein_coding	protein_coding
IV	305237	306577	+	YDL084W	YDL084W_mRNA	YDL084W	protein_coding	protein_coding
IV	306926	307789	-	YDL083C	YDL083C_mRNA	RPS16B	protein_coding	protein_coding
IV	308424	309388	+	YDL082W	YDL082W_mRNA	RPL13A	protein_coding	protein_coding
IV	309802	310122	-	YDL081C	YDL081C_mRNA	RPP1A	protein_coding	protein_coding
IV	310642	312471	-	YDL080C	YDL080C_mRNA	THI3	protein_coding	protein_coding
IV	312951	314748	-	YDL079C	YDL079C_mRNA	YDL079C	protein_coding	protein_coding
IV	315357	316388	-	YDL078C	YDL078C_mRNA	YDL078C	protein_coding	protein_coding
IV	316971	320120	-	YDL077C	YDL077C_mRNA	VAM6	protein_coding	protein_coding
IV	320668	321552	-	YDL076C	YDL076C_mRNA	YDL076C	protein_coding	protein_coding
IV	322226	322988	+	YDL075W	YDL075W_mRNA	RPL31A	protein_coding	protein_coding
IV	323217	323471	-	snR63	snR63_snoRNA	snR63	snoRNA	snoRNA
IV	324047	326149	-	YDL074C	YDL074C_mRNA	YDL074C	protein_coding	protein_coding
IV	326613	329567	+	YDL073W	YDL073W_mRNA	YDL073W	protein_coding	protein_coding
IV	329836	330447	-	YDL072C	YDL072C_mRNA	YDL072C	protein_coding	protein_coding
IV	330666	331040	-	YDL071C	YDL071C_mRNA	YDL071C	protein_coding	protein_coding
IV	331024	332940	+	YDL070W	YDL070W_mRNA	YDL070W	protein_coding	protein_coding
IV	333121	333810	-	YDL069C	YDL069C_mRNA	YDL069C	protein_coding	protein_coding
IV	333500	333829	+	YDL068W	YDL068W_mRNA	YDL068W	protein_coding	protein_coding
IV	334217	334396	-	YDL067C	YDL067C_mRNA	YDL067C	protein_coding	protein_coding
IV	334835	336121	+	YDL066W	YDL066W_mRNA	YDL066W	protein_coding	protein_coding
IV	336249	337277	-	YDL065C	YDL065C_mRNA	PEX19	protein_coding	protein_coding
IV	337487	338070	+	YDL064W	YDL064W_mRNA	YDL064W	protein_coding	protein_coding
IV	338272	340134	-	YDL063C	YDL063C_mRNA	YDL063C	protein_coding	protein_coding
IV	339857	340282	+	YDL062W	YDL062W_mRNA	YDL062W	protein_coding	protein_coding
IV	340628	340798	-	YDL061C	YDL061C_mRNA	RPS29B	protein_coding	protein_coding
IV	341619	343985	+	YDL060W	YDL060W_mRNA	YDL060W	protein_coding	protein_coding
IV	344237	344953	-	YDL059C	YDL059C_mRNA	YDL059C	protein_coding	protein_coding
IV	345665	351037	+	YDL058W	YDL058W_mRNA	USO1	protein_coding	protein_coding
IV	351434	352420	+	YDL057W	YDL057W_mRNA	YDL057W	protein_coding	protein_coding
IV	352877	355378	+	YDL056W	YDL056W_mRNA	YDL056W	protein_coding	protein_coding
IV	355674	356759	-	YDL055C	YDL055C_mRNA	PSA1	protein_coding	protein_coding
IV	359577	359672	+	tK(UUU)D	tK(UUU)D_tRNA	tK(UUU)D	tRNA	tRNA
IV	359825	361285	-	YDL054C	YDL054C_mRNA	YDL054C	protein_coding	protein_coding
IV	361699	362256	-	YDL053C	YDL053C_mRNA	YDL053C	protein_coding	protein_coding
IV	362672	363583	-	YDL052C	YDL052C_mRNA	YDL052C	protein_coding	protein_coding
IV	363952	364779	+	YDL051W	YDL051W_mRNA	LHP1	protein_coding	protein_coding
IV	364446	364817	-	YDL050C	YDL050C_mRNA	YDL050C	protein_coding	protein_coding
IV	365068	365874	-	YDL049C	YDL049C_mRNA	YDL049C	protein_coding	protein_coding
IV	366739	368211	-	YDL048C	YDL048C_mRNA	YDL048C	protein_coding	protein_coding
IV	369771	370706	+	YDL047W	YDL047W_mRNA	YDL047W	protein_coding	protein_coding
IV	371240	371761	+	YDL046W	YDL046W_mRNA	YDL046W	protein_coding	protein_coding
IV	372248	372535	+	YDL045W-A	YDL045W-A_mRNA	MRP10	protein_coding	protein_coding
IV	372688	373608	-	YDL045C	YDL045C_mRNA	YDL045C	protein_coding	protein_coding
IV	373967	375289	-	YDL044C	YDL044C_mRNA	MTF2	protein_coding	protein_coding
IV	375680	376480	-	YDL043C	YDL043C_mRNA	PRP11	protein_coding	protein_coding
IV	376757	378445	-	YDL042C	YDL042C_mRNA	SIR2	protein_coding	protein_coding
IV	378102	378455	+	YDL041W	YDL041W_mRNA	YDL041W	protein_coding	protein_coding
IV	378874	381438	-	YDL040C	YDL040C_mRNA	NAT1	protein_coding	protein_coding
IV	381985	384081	-	YDL039C	YDL039C_mRNA	PRM7	protein_coding	protein_coding
IV	384601	385587	-	YDL037C	YDL037C_mRNA	YDL037C	protein_coding	protein_coding
IV	387513	388901	-	YDL036C	YDL036C_mRNA	YDL036C	protein_coding	protein_coding
IV	389172	392057	-	YDL035C	YDL035C_mRNA	YDL035C	protein_coding	protein_coding
IV	391783	392127	+	YDL034W	YDL034W_mRNA	YDL034W	protein_coding	protein_coding
IV	392659	393912	-	YDL033C	YDL033C_mRNA	SLM3	protein_coding	protein_coding
IV	393690	394001	+	YDL032W	YDL032W_mRNA	YDL032W	protein_coding	protein_coding
IV	394217	397204	+	YDL031W	YDL031W_mRNA	YDL031W	protein_coding	protein_coding
IV	397537	399129	+	YDL030W	YDL030W_mRNA	YDL030W	protein_coding	protein_coding
IV	399340	400638	+	YDL029W	YDL029W_mRNA	ARP2	protein_coding	protein_coding
IV	400997	403291	-	YDL028C	YDL028C_mRNA	MPS1	protein_coding	protein_coding
IV	403695	404957	-	YDL027C	YDL027C_mRNA	YDL027C	protein_coding	protein_coding
IV	404749	405060	+	YDL026W	YDL026W_mRNA	YDL026W	protein_coding	protein_coding
IV	405344	407206	-	YDL025C	YDL025C_mRNA	YDL025C	protein_coding	protein_coding
IV	405410	405514	+	YDL025W-A	YDL025W-A_mRNA	YDL025W-A	protein_coding	protein_coding
IV	408451	409857	-	YDL024C	YDL024C_mRNA	YDL024C	protein_coding	protein_coding
IV	409808	410056	-	YDL022C-A	YDL022C-A_mRNA	YDL022C-A	protein_coding	protein_coding
IV	410379	410451	+	tA(AGC)D	tA(AGC)D_tRNA	tA(AGC)D	tRNA	tRNA
IV	411761	412081	-	YDL023C	YDL023C_mRNA	YDL023C	protein_coding	protein_coding
IV	411825	413000	+	YDL022W	YDL022W_mRNA	GPD1	protein_coding	protein_coding
IV	413953	414888	+	YDL021W	YDL021W_mRNA	YDL021W	protein_coding	protein_coding
IV	415113	416708	-	YDL020C	YDL020C_mRNA	RPN4	protein_coding	protein_coding
IV	417663	421514	-	YDL019C	YDL019C_mRNA	YDL019C	protein_coding	protein_coding
IV	422833	423510	-	YDL018C	YDL018C_mRNA	YDL018C	protein_coding	protein_coding
IV	424209	425732	+	YDL017W	YDL017W_mRNA	CDC7	protein_coding	protein_coding
IV	425570	425872	-	YDL016C	YDL016C_mRNA	YDL016C	protein_coding	protein_coding
IV	426002	426934	-	YDL015C	YDL015C_mRNA	YDL015C	protein_coding	protein_coding
IV	427364	428347	+	YDL014W	YDL014W_mRNA	NOP1	protein_coding	protein_coding
IV	429067	430926	+	YDL013W	YDL013W_mRNA	SLX5	protein_coding	protein_coding
IV	431108	431517	-	YDL012C	YDL012C_mRNA	YDL012C	protein_coding	protein_coding
IV	432308	432631	-	YDL011C	YDL011C_mRNA	YDL011C	protein_coding	protein_coding
IV	432330	433025	+	YDL010W	YDL010W_mRNA	YDL010W	protein_coding	protein_coding
IV	432925	433248	-	YDL009C	YDL009C_mRNA	YDL009C	protein_coding	protein_coding
IV	433497	433994	+	YDL008W	YDL008W_mRNA	YDL008W	protein_coding	protein_coding
IV	434264	434336	-	tT(AGU)D	tT(AGU)D_tRNA	tT(AGU)D	tRNA	tRNA
IV	436567	436824	-	YDL007C-A	YDL007C-A_mRNA	YDL007C-A	protein_coding	protein_coding
IV	437772	437853	+	tS(AGA)D1	tS(AGA)D1_tRNA	tS(AGA)D1	tRNA	tRNA
IV	438047	439360	+	YDL007W	YDL007W_mRNA	RPT2	protein_coding	protein_coding
IV	439909	440754	+	YDL006W	YDL006W_mRNA	PTC1	protein_coding	protein_coding
IV	441014	442309	-	YDL005C	YDL005C_mRNA	YDL005C	protein_coding	protein_coding
IV	443029	443511	+	YDL004W	YDL004W_mRNA	YDL004W	protein_coding	protein_coding
IV	444683	446383	+	YDL003W	YDL003W_mRNA	MCD1	protein_coding	protein_coding
IV	446967	447578	-	YDL002C	YDL002C_mRNA	NHP10	protein_coding	protein_coding
IV	447984	449276	+	YDL001W	YDL001W_mRNA	YDL001W	protein_coding	protein_coding
IV	450220	452475	-	YDR001C	YDR001C_mRNA	YDR001C	protein_coding	protein_coding
IV	453045	453650	+	YDR002W	YDR002W_mRNA	YRB1	protein_coding	protein_coding
IV	454122	454754	+	YDR003W	YDR003W_mRNA	RCR2	protein_coding	protein_coding
IV	454782	454904	+	YDR003W-A	YDR003W-A_mRNA	YDR003W-A	protein_coding	protein_coding
IV	455201	456583	+	YDR004W	YDR004W_mRNA	YDR004W	protein_coding	protein_coding
IV	456836	458103	-	YDR005C	YDR005C_mRNA	YDR005C	protein_coding	protein_coding
IV	458542	461247	-	YDR006C	YDR006C_mRNA	YDR006C	protein_coding	protein_coding
IV	461842	462516	+	YDR007W	YDR007W_mRNA	YDR007W	protein_coding	protein_coding
IV	462252	462602	-	YDR008C	YDR008C_mRNA	YDR008C	protein_coding	protein_coding
IV	463434	464996	+	YDR009W	YDR009W_mRNA	YDR009W	protein_coding	protein_coding
IV	465051	465383	-	YDR010C	YDR010C_mRNA	YDR010C	protein_coding	protein_coding
IV	465919	470424	+	YDR011W	YDR011W_mRNA	YDR011W	protein_coding	protein_coding
IV	471853	472941	+	YDR012W	YDR012W_mRNA	RPL4B	protein_coding	protein_coding
IV	473157	473783	+	YDR013W	YDR013W_mRNA	PSF1	protein_coding	protein_coding
IV	474046	475989	+	YDR014W	YDR014W_mRNA	RAD61	protein_coding	protein_coding
IV	477797	478285	+	YDR014W-A	YDR014W-A_mRNA	YDR014W-A	protein_coding	protein_coding
IV	477960	478199	-	YDR015C	YDR015C_mRNA	YDR015C	protein_coding	protein_coding
IV	478474	478758	-	YDR016C	YDR016C_mRNA	YDR016C	protein_coding	protein_coding
IV	479115	482267	-	YDR017C	YDR017C_mRNA	YDR017C	protein_coding	protein_coding
IV	482670	483860	-	YDR018C	YDR018C_mRNA	YDR018C	protein_coding	protein_coding
IV	484163	485365	-	YDR019C	YDR019C_mRNA	GCV1	protein_coding	protein_coding
IV	485746	486444	-	YDR020C	YDR020C_mRNA	DAS2	protein_coding	protein_coding
IV	486804	488003	+	YDR021W	YDR021W_mRNA	YDR021W	protein_coding	protein_coding
IV	488072	488662	-	YDR022C	YDR022C_mRNA	CIS1	protein_coding	protein_coding
IV	488797	488870	-	tV(UAC)D	tV(UAC)D_tRNA	tV(UAC)D	tRNA	tRNA
IV	489508	490896	+	YDR023W	YDR023W_mRNA	SES1	protein_coding	protein_coding
IV	491017	491502	+	YDR024W	YDR024W_mRNA	YDR024W	protein_coding	protein_coding
IV	491515	492324	+	YDR025W	YDR025W_mRNA	RPS11A	protein_coding	protein_coding
IV	492556	494268	-	YDR026C	YDR026C_mRNA	YDR026C	protein_coding	protein_coding
IV	494649	497318	-	YDR027C	YDR027C_mRNA	VPS54	protein_coding	protein_coding
IV	497835	500879	-	YDR028C	YDR028C_mRNA	REG1	protein_coding	protein_coding
IV	501100	501414	+	YDR029W	YDR029W_mRNA	YDR029W	protein_coding	protein_coding
IV	501753	503273	-	YDR030C	YDR030C_mRNA	YDR030C	protein_coding	protein_coding
